# Technical English — Expert (DE → EN)
# Format: Front (Deutsch)	Back (English)

# ============================================================
# Section 19: Compiler & Language Theory
# ============================================================

Lexikalische Analyse / Tokenisierung	lexical analysis / tokenization
Kleinste bedeutungstragende Einheit im Quellcode	token / lexeme
Parser / Syntaxanalysator	parser
Abstrakter Syntaxbaum (AST)	abstract syntax tree (AST)
Kontextfreie Grammatik	context-free grammar (CFG) — formal grammar where each production rule has a single non-terminal on the left
Formale Grammatiknotation zur Beschreibung von Syntaxregeln	BNF (Backus-Naur Form)
Erweiterte Backus-Naur-Form	EBNF (Extended Backus-Naur Form)
Semantische Analyse	semantic analysis
Zwischencode / Intermediate Representation	intermediate representation (IR) — compiler-internal code form between source and machine code, enabling optimization
Codeerzeugung	code generation
Codeoptimierung	code optimization
Kompilierzeit	compile time
Laufzeit	runtime
Just-in-Time-Kompilierung	JIT (Just-in-Time) compilation
Ahead-of-Time-Kompilierung	AOT (Ahead-of-Time) compilation
Vom Compiler erzeugter Zwischencode (Maschinenunabhängig)	bytecode
Maschinencode	machine code / native code
Befehlssatzarchitektur	ISA (Instruction Set Architecture)
Registerallokation	register allocation — mapping virtual variables to a limited set of CPU registers
Schleifenabrollung	loop unrolling
Inline-Ersetzung / Inlining	inlining / inline expansion
Tote-Code-Eliminierung	dead code elimination — removes code that can never be reached or whose results are unused
Konstantenfaltung	constant folding — evaluates constant expressions at compile time instead of runtime
Konstantenweitergabe	constant propagation
Escape-Analyse	escape analysis
Devirtualisierung	devirtualization — replaces virtual dispatch with a direct call when the target type is known
Typinferenz	type inference — compiler automatically deduces types without explicit annotations
Typsystem	type system
Starke Typisierung	strong typing
Schwache Typisierung	weak typing
Statische Typisierung	static typing
Dynamische Typisierung	dynamic typing
Typensicherheit	type safety
Generische Programmierung	generic programming / generics
Kovarianz	covariance
Kontravarianz	contravariance
Algebraischer Datentyp	algebraic data type (ADT) — composite type formed by combining sum types (OR) and product types (AND)
Summentyp	sum type / tagged union
Produkttyp	product type
Musterabgleich	pattern matching
Kompositionsstruktur in funktionaler Programmierung zum Verketten von Berechnungen	monad
Funktor (funktionale Programmierung)	functor
Referenzielle Transparenz	referential transparency — an expression can be replaced by its value without changing program behavior
Reine Funktion	pure function
Seiteneffektfreiheit	side-effect-free / pure
Träge Auswertung / Lazy Evaluation	lazy evaluation — delays computation until the result is actually needed
Gierige Auswertung / Eager Evaluation	eager evaluation
Teilanwendung	partial application — fixing some arguments of a function, producing a new function with fewer parameters
Umwandlung einer Funktion mit mehreren Parametern in verschachtelte Einzelparameter-Funktionen	currying
Funktionen höherer Ordnung	higher-order functions
Abschluss / Closure	closure — function that captures and retains access to variables from its enclosing scope
Lambda-Ausdruck	lambda expression
Endrekursion	tail recursion
Endrekursionsoptimierung	tail call optimization (TCO) — compiler reuses the current stack frame for tail-recursive calls, preventing stack overflow
Automatische Speicherbereinigung nicht mehr referenzierter Objekte	garbage collection algorithm
Referenzzählung	reference counting
GC-Verfahren: Erreichbare Objekte markieren, Rest freigeben	mark-and-sweep (algorithm)
Generationelle Garbage Collection	generational garbage collection
Speicherbarriere	memory barrier / memory fence

# ============================================================
# Section 20: Operating Systems & Low-Level Concepts
# ============================================================

Kernel / Betriebssystemkern	kernel
Benutzermodus	user mode / user space
Kernelmodus	kernel mode / kernel space
Systemaufruf / Syscall	system call (syscall)
Kontextwechsel	context switch — saving one process’s state and loading another’s to share the CPU
Prozessplanung / Scheduling	scheduling
Planungsalgorithmus	scheduling algorithm
Zeitscheibe	time slice / time quantum
Präemptive Planung	preemptive scheduling
Kooperative Planung	cooperative scheduling
Prozesszustand	process state
Prozesssteuerungsblock	PCB (Process Control Block)
Elternprozess	parent process
Kindprozess	child process
Verwaister Prozess	orphan process
Zombieprozess	zombie process — terminated process whose exit status has not yet been read by its parent
Daemon / Hintergrundprozess	daemon
Fork (Prozessgabelung)	fork
Exec (Prozessersetzung)	exec
Interprozesskommunikation (IPC)	IPC (Inter-Process Communication)
Gemeinsamer Speicher / Shared Memory	shared memory
Zählende Synchronisierungsprimitive (erlaubt N gleichzeitige Zugriffe)	semaphore
Mutex (Gegenseitiger Ausschluss)	mutex (mutual exclusion)
Bedingungsvariable	condition variable
Nachrichtenübergabe	message passing
Signal (Betriebssystem)	signal
Pipeline / Pipe (Unix)	pipe
Benannte Pipe / FIFO	named pipe / FIFO
Socket (Unix-Domäne)	Unix domain socket
Dateisystemtreiber	filesystem driver
Blockgerät	block device
Zeichengerät	character device
Gerätetreiber	device driver
Interrupt / Unterbrechung	interrupt
Interrupt-Handler / Unterbrechungsroutine	interrupt handler / ISR (Interrupt Service Routine)
DMA (Direkter Speicherzugriff)	DMA (Direct Memory Access) — hardware transfers data between I/O devices and memory without CPU involvement
Seitentabelle	page table
Seitenfehler	page fault
Virtuelle Speicheradresse	virtual memory address
Physische Speicheradresse	physical memory address
Adressübersetzungspuffer / TLB	TLB (Translation Lookaside Buffer) — CPU cache of recent virtual-to-physical address translations for faster lookups
Auslagerung / Swapping	swapping
Auslagerungsdatei / Swap	swap (file / partition)
Speicherschutz	memory protection
Speicherschutzeinheit (MMU)	MMU (Memory Management Unit)
POSIX-Standard	POSIX (Portable Operating System Interface)
Dateibeschreiber / Dateideskriptor	file descriptor (fd)
Inode / Indexknoten	inode
Harte Verknüpfung	hard link
Symbolische Verknüpfung	symbolic link / symlink
Mounten / Einhängen (Dateisystem)	to mount
Aushängen / Unmounten	to unmount
Dateisystem-Journal	filesystem journal
Journaling-Dateisystem	journaling filesystem
Schreibbarriere	write barrier
Dateisperre / Dateisperrung	file locking
Mandatorische Dateisperre	mandatory locking
Empfohlene Dateisperre	advisory locking

# ============================================================
# Section 21: Distributed Systems & Consensus
# ============================================================

Verteiltes System	distributed system
Verteilter Algorithmus	distributed algorithm
Knotenausfall	node failure
Netzwerkpartitionierung	network partition
Teilversagen / Partial Failure	partial failure
Byzantine Fehler	Byzantine fault — a node behaves arbitrarily or maliciously, sending conflicting information
Byzantinische Fehlertoleranz	Byzantine fault tolerance (BFT)
Absturzfehlertoleranz	crash fault tolerance (CFT)
Fehlermodell	failure model
Fehlererkennung	failure detection
Herzschlag / Heartbeat	heartbeat
Zeitüberschreitung (Verteilte Systeme)	timeout (distributed systems)
Phi-Vermutungsbasierter Fehlerdetektor	phi accrual failure detector — outputs a suspicion level instead of binary alive/dead, adapting to network conditions
Konsensalgorithmus für verteilte Systeme (Leslie Lamport)	Paxos (algorithm)
Verständlicherer Konsensalgorithmus als Alternative zu Paxos	Raft (algorithm)
Zustandsmaschinen-Replikation	replicated state machine
Verteilter Hash-Tabelle (DHT)	DHT (Distributed Hash Table)
Konsistentes Hashing	consistent hashing — hash ring that minimizes key redistribution when nodes join or leave
Datenversionierung	data versioning
Lese-Quorum	read quorum
Schreib-Quorum	write quorum
Lese-nach-Schreib-Konsistenz	read-your-writes consistency
Monotone Lesekonsistenz	monotonic read consistency
Sitzungskonsistenz	session consistency
Starke Konsistenz	strong consistency
Schwache Konsistenz	weak consistency
Uhr-Skew / Zeitversatz	clock skew
Logische Uhr	logical clock
Lamport-Zeitstempel	Lamport timestamp — logical counter ensuring a partial causal ordering of events across nodes
Happens-Before-Beziehung	happens-before relation
Kausale Ordnung	causal ordering
Totale Ordnung	total ordering
Partielle Ordnung	partial ordering
Selbstorganisiertes Informationsverteilungsprotokoll zwischen Knoten	gossip protocol
Epidemisches Protokoll	epidemic protocol
Mitgliedschaftsprotokoll	membership protocol
Splitbrain / Geteiltes Gehirn	split-brain — partition causes two halves of a cluster to operate independently, risking data divergence
Fechtung / Fencing	fencing
